YEAR,MO,DY,T2M,T2MWET,WS10M_RANGE,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,ALLSKY_KT
2000,3,30,8.03,5.13,3.34,6.5,7.48,1.52,0.67
2000,3,31,7.76,4.82,3.32,7.08,7.06,3.01,0.73
2000,4,1,7.52,4.75,3.84,5.79,6.75,3.73,0.6
2000,4,2,6.73,3.37,2.97,6.42,7.22,3.16,0.67
2000,4,3,7.38,3.69,3.41,7.08,7.39,3.12,0.74
2000,4,4,7.71,4.13,4.51,7.08,7.19,2.91,0.74
2000,4,5,6.88,2.96,4.37,5.8,7.34,2.91,0.61
2000,4,6,6.91,3.63,3.27,6.36,7.44,2.76,0.67
2000,4,7,9.05,5.67,4.55,6.12,7.3,2.18,0.65
2000,4,8,8.81,5.47,4.93,6.74,7.04,3.53,0.72
2000,4,9,7.73,5.06,3.13,6.06,7.13,2.98,0.65
2000,4,10,8.14,4.83,4.85,6.98,7.04,3.22,0.75
2000,4,11,7.62,4.02,3.85,6.61,7.77,2.73,0.72
2000,4,12,8.82,5.48,3.59,6.66,7.07,2.38,0.73
2000,4,13,7.64,4.81,3.05,4.52,7.23,1.42,0.49
2000,4,14,6.57,3.5,3.28,5.02,7.27,2.4,0.55
2000,4,15,8.31,5.48,3.9,4.15,7.22,2.44,0.46
2000,4,16,7.13,5.0,2.29,4.73,7.45,2.42,0.52
2000,4,17,7.6,1.6,2.28,5.27,7.08,1.53,0.59
2000,4,18,7.37,1.24,3.01,6.44,7.2,1.38,0.72
2000,4,19,8.15,5.44,2.55,3.68,7.46,2.05,0.41
2000,4,20,8.2,4.98,1.86,3.87,6.71,1.56,0.44
2000,4,21,8.55,5.67,3.16,5.02,6.93,1.77,0.57
2000,4,22,6.98,4.66,1.98,4.66,6.91,2.34,0.53
2000,4,23,7.7,5.43,2.26,3.87,7.11,2.38,0.45
2000,4,24,9.1,5.81,2.93,3.7,6.39,1.4,0.43
2000,4,25,9.55,6.12,2.96,5.43,7.03,1.38,0.62
2000,4,26,8.86,5.76,4.47,5.14,6.86,2.09,0.59
2000,4,27,8.09,5.4,2.3,3.77,7.01,1.97,0.44
2000,4,28,8.14,5.01,3.12,5.23,6.97,2.23,0.62
2000,4,29,7.54,4.64,4.27,6.22,6.79,2.34,0.73
2000,4,30,7.98,1.98,2.77,6.55,7.01,1.9,0.77
2000,5,1,7.83,-0.42,3.42,6.61,7.01,1.27,0.79
2000,5,2,8.05,1.76,2.44,6.17,6.8,1.67,0.73
2000,5,3,6.99,2.24,2.83,5.16,6.65,1.65,0.62
